,Stock,Quantity,Month,MFundName,Fund Size
364,KBL,29296,Kartik 2078,LUK,652623600
365,LGIL,9477,Kartik 2078,LUK,652623600
366,MLBS,482,Kartik 2078,LUK,652623600
367,MBL,5665,Kartik 2078,LUK,652623600
368,MEGA,32559,Kartik 2078,LUK,652623600
369,NABIL,12000,Kartik 2078,LUK,652623600
370,NBF2,152800,Kartik 2078,LUK,652623600
371,NEF,22722,Kartik 2078,LUK,652623600
372,NLICL,21818,Kartik 2078,LUK,652623600
373,NBB,35081,Kartik 2078,LUK,652623600
374,NBL,52000,Kartik 2078,LUK,652623600
375,NCCB,13825,Kartik 2078,LUK,652623600
376,NIFRA,28456,Kartik 2078,LUK,652623600
377,NICL,15433,Kartik 2078,LUK,652623600
378,NIBPO,26122,Kartik 2078,LUK,652623600
379,NLIC,1334,Kartik 2078,LUK,652623600
380,NRIC,3605,Kartik 2078,LUK,652623600
381,NIBLSF,250000,Kartik 2078,LUK,652623600
382,NICBF,399700,Kartik 2078,LUK,652623600
383,NICA,6117,Kartik 2078,LUK,652623600
384,NLG,8712,Kartik 2078,LUK,652623600
385,NMB50,46500,Kartik 2078,LUK,652623600
386,NMBHF1,34810,Kartik 2078,LUK,652623600
387,NMB,43054,Kartik 2078,LUK,652623600
388,NRN,3160,Kartik 2078,LUK,652623600
389,NUBL,9490,Kartik 2078,LUK,652623600
390,PCBL,13380,Kartik 2078,LUK,652623600
391,PRVU,20556,Kartik 2078,LUK,652623600
392,PRIN,6011,Kartik 2078,LUK,652623600
393,PIC,9200,Kartik 2078,LUK,652623600
394,PICL,11931,Kartik 2078,LUK,652623600
395,RMDC,8000,Kartik 2078,LUK,652623600
396,SLI,6470,Kartik 2078,LUK,652623600
397,SANIMA,49166,Kartik 2078,LUK,652623600
398,SBL,38472,Kartik 2078,LUK,652623600
399,SCB,15876,Kartik 2078,LUK,652623600
400,SHINE,23000,Kartik 2078,LUK,652623600
401,SICL,7667,Kartik 2078,LUK,652623600
402,SRBL,13421,Kartik 2078,LUK,652623600
403,SLICL,9000,Kartik 2078,LUK,652623600
404,TPC,980,Kartik 2078,LUK,652623600
405,ADBL,2500,Kartik 2078,NADDF,498984500
406,NBL,7640,Kartik 2078,NADDF,498984500
407,SANIMA,4000,Kartik 2078,NADDF,498984500
408,CCBL,6000,Kartik 2078,NADDF,498984500
409,SRBL,2500,Kartik 2078,NADDF,498984500
410,GBIME,1000,Kartik 2078,NADDF,498984500
411,PCBL,4750,Kartik 2078,NADDF,498984500
412,NABIL,1000,Kartik 2078,NADDF,498984500
413,KSBBL,2500,Kartik 2078,NADDF,498984500
414,CBBL,2000,Kartik 2078,NADDF,498984500
415,MLBSL,364,Kartik 2078,NADDF,498984500
416,NUBL,1000,Kartik 2078,NADDF,498984500
417,JBLB,3000,Kartik 2078,NADDF,498984500
418,MKLB,696,Kartik 2078,NADDF,498984500
419,MLBS,354,Kartik 2078,NADDF,498984500
420,ALICL,1250,Kartik 2078,NADDF,498984500
421,NLICL,5500,Kartik 2078,NADDF,498984500
422,NLIC,1000,Kartik 2078,NADDF,498984500
423,SLICL,1000,Kartik 2078,NADDF,498984500
424,ULI,5350,Kartik 2078,NADDF,498984500
425,SLI,5000,Kartik 2078,NADDF,498984500
426,AIL,1000,Kartik 2078,NADDF,498984500
427,EIC,1151,Kartik 2078,NADDF,498984500
428,GIC,2000,Kartik 2078,NADDF,498984500
429,HGI,2575,Kartik 2078,NADDF,498984500
430,IGI,16750,Kartik 2078,NADDF,498984500
431,LGIL,1600,Kartik 2078,NADDF,498984500
432,NICL,1500,Kartik 2078,NADDF,498984500
433,NLG,4130,Kartik 2078,NADDF,498984500
434,PRIN,200,Kartik 2078,NADDF,498984500
435,PIC,1250,Kartik 2078,NADDF,498984500
436,PICL,2410,Kartik 2078,NADDF,498984500
437,SICL,2566,Kartik 2078,NADDF,498984500
438,SIL,1680,Kartik 2078,NADDF,498984500
439,UIC,1500,Kartik 2078,NADDF,498984500
440,NIL,4042,Kartik 2078,NADDF,498984500
441,PSF,300000,Kartik 2078,NADDF,498984500
442,KEF,500000,Kartik 2078,NADDF,498984500
443,RMF1,2500000,Kartik 2078,NADDF,498984500
444,MKJC,394,Kartik 2078,NADDF,498984500
445,SAHAS,4333,Kartik 2078,NADDF,498984500
446,TPC,715,Kartik 2078,NADDF,498984500
447,ADBL,53376,Kartik 2078,NBF2,1120000000
448,BOKL,55915,Kartik 2078,NBF2,1120000000
449,CCBL,52571,Kartik 2078,NBF2,1120000000
450,CZBIL,48731,Kartik 2078,NBF2,1120000000
451,EBL,12486,Kartik 2078,NBF2,1120000000
452,GBIME,56746,Kartik 2078,NBF2,1120000000
453,HBL,24715,Kartik 2078,NBF2,1120000000
454,MBL,41762,Kartik 2078,NBF2,1120000000
455,MEGA,46907,Kartik 2078,NBF2,1120000000
456,NBB,20000,Kartik 2078,NBF2,1120000000
457,NBL,66182,Kartik 2078,NBF2,1120000000
458,NCCB,52943,Kartik 2078,NBF2,1120000000
459,NIBPO,82870,Kartik 2078,NBF2,1120000000
460,NICA,37578,Kartik 2078,NBF2,1120000000
461,NMB,24765,Kartik 2078,NBF2,1120000000
462,PRVU,35964,Kartik 2078,NBF2,1120000000
463,PCBL,40000,Kartik 2078,NBF2,1120000000
464,SANIMA,44263,Kartik 2078,NBF2,1120000000
465,SRBL,47748,Kartik 2078,NBF2,1120000000
466,GBBL,30212,Kartik 2078,NBF2,1120000000
467,JBBL,27517,Kartik 2078,NBF2,1120000000
468,KSBBL,5247,Kartik 2078,NBF2,1120000000
469,MLBL,5358,Kartik 2078,NBF2,1120000000
470,MNBBL,17669,Kartik 2078,NBF2,1120000000
471,SHINE,25049,Kartik 2078,NBF2,1120000000
472,MFIL,6000,Kartik 2078,NBF2,1120000000
473,AKBSL,765,Kartik 2078,NBF2,1120000000
474,ALBSL,9768,Kartik 2078,NBF2,1120000000
475,CBBL,11383,Kartik 2078,NBF2,1120000000
476,CLBSL,3129,Kartik 2078,NBF2,1120000000
477,FMDBL,12785,Kartik 2078,NBF2,1120000000
478,GBLBS,33000,Kartik 2078,NBF2,1120000000
479,JBLB,2094,Kartik 2078,NBF2,1120000000
480,LLBS,2060,Kartik 2078,NBF2,1120000000
481,MLBSL,859,Kartik 2078,NBF2,1120000000
482,MLBS,665,Kartik 2078,NBF2,1120000000
483,MERO,4858,Kartik 2078,NBF2,1120000000
484,NADEP,6423,Kartik 2078,NBF2,1120000000
485,NICLBSL,7338,Kartik 2078,NBF2,1120000000
486,RMDC,6585,Kartik 2078,NBF2,1120000000
487,SDLBSL,10139,Kartik 2078,NBF2,1120000000
488,SAMAJ,185,Kartik 2078,NBF2,1120000000
489,SKBBL,10000,Kartik 2078,NBF2,1120000000
490,SMFDB,2534,Kartik 2078,NBF2,1120000000
491,ALICL,8492,Kartik 2078,NBF2,1120000000
492,GLICL,53979,Kartik 2078,NBF2,1120000000
493,NLICL,33547,Kartik 2078,NBF2,1120000000
494,NLIC,15950,Kartik 2078,NBF2,1120000000
495,PLIC,35721,Kartik 2078,NBF2,1120000000
496,SLI,4127,Kartik 2078,NBF2,1120000000
497,SLICL,4600,Kartik 2078,NBF2,1120000000
498,HGI,25635,Kartik 2078,NBF2,1120000000
499,IGI,10803,Kartik 2078,NBF2,1120000000
500,LGIL,40190,Kartik 2078,NBF2,1120000000
501,NIL,18987,Kartik 2078,NBF2,1120000000
502,NICL,6690,Kartik 2078,NBF2,1120000000
503,NLG,11792,Kartik 2078,NBF2,1120000000
504,PRIN,25764,Kartik 2078,NBF2,1120000000
505,PIC,34124,Kartik 2078,NBF2,1120000000
506,PICL,16173,Kartik 2078,NBF2,1120000000
507,SIC,5302,Kartik 2078,NBF2,1120000000
508,SICL,10131,Kartik 2078,NBF2,1120000000
