,Stock,Quantity,Month,MFundName,%age holdings
144,SAHAS,9333,Bhadra 2078,CMF2,0.007990924269018365
145,MKJC,1052,Bhadra 2078,CMF2,0.0009007234898754228
146,CCBLPO,121360,Bhadra 2078,GIMES1,0.009561803714196616
147,NIBPO,39738,Bhadra 2078,GIMES1,0.0031309076795875503
148,GBIME,2901,Bhadra 2078,GIMES1,0.00022856618799344414
149,MBL,52653,Bhadra 2078,GIMES1,0.004148464493767257
150,SCB,3960,Bhadra 2078,GIMES1,0.00031200348309342945
151,LBL,16331,Bhadra 2078,GIMES1,0.0012866992127269687
152,NBB,63477,Bhadra 2078,GIMES1,0.005001274014222632
153,CCBL,232269,Bhadra 2078,GIMES1,0.01830018611480499
154,MEGA,3013,Bhadra 2078,GIMES1,0.00023739052892941993
155,CBL,173085,Bhadra 2078,GIMES1,0.013637152240208646
156,CZBIL,26157,Bhadra 2078,GIMES1,0.00206087755234213
157,EBLCP,2752,Bhadra 2078,GIMES1,0.00021682666299826207
158,GBBL,54852,Bhadra 2078,GIMES1,0.004321720973394139
159,MDB,24905,Bhadra 2078,GIMES1,0.0019622340268792577
160,KSBBL,35000,Bhadra 2078,GIMES1,0.0027576065424924317
161,MNBBL,40231,Bhadra 2078,GIMES1,0.003169750537457515
162,MLBL,57976,Bhadra 2078,GIMES1,0.004567857054501178
163,JBBL,59326,Bhadra 2078,GIMES1,0.004674221878283029
164,SADBL,15000,Bhadra 2078,GIMES1,0.0011818313753538994
165,LBBL,50855,Bhadra 2078,GIMES1,0.004006802306241504
166,AKBSL,940,Bhadra 2078,GIMES1,7.406143285551103e-05
167,SKBBL,35676,Bhadra 2078,GIMES1,0.0028108677431417143
168,FOWAD,6271,Bhadra 2078,GIMES1,0.0004940843036562869
169,NLBBL,501,Bhadra 2078,GIMES1,3.947316793682024e-05
170,ACLBSL,1000,Bhadra 2078,GIMES1,7.878875835692663e-05
171,SAMAJ,391,Bhadra 2078,GIMES1,3.080640451755831e-05
172,RMDC,2195,Bhadra 2078,GIMES1,0.00017294132459345395
173,CBBL,57609,Bhadra 2078,GIMES1,0.004538941580184186
174,FMDBL,83257,Bhadra 2078,GIMES1,0.00655971565452264
175,MKLB,1496,Bhadra 2078,GIMES1,0.00011786798250196224
176,JBLB,7505,Bhadra 2078,GIMES1,0.0005913096314687343
177,KLBSL,4476,Bhadra 2078,GIMES1,0.0003526584824056036
178,SFFIL,235,Bhadra 2078,GIMES1,1.8515358213877758e-05
179,MEN,20000,Bhadra 2078,GIMES1,0.0015757751671385326
180,AKPL,32333,Bhadra 2078,GIMES1,0.0025474769239545087
181,HPPL,61050,Bhadra 2078,GIMES1,0.004810053697690371
182,HURJA,55134,Bhadra 2078,GIMES1,0.004343939403250793
183,MHNL,22000,Bhadra 2078,GIMES1,0.0017333526838523858
184,SPDL,14330,Bhadra 2078,GIMES1,0.0011290429072547585
185,API,15992,Bhadra 2078,GIMES1,0.0012599898236439707
186,GLH,92210,Bhadra 2078,GIMES1,0.0072651114080922044
187,AHPC,1659,Bhadra 2078,GIMES1,0.00013071055011414128
188,SHPC,6400,Bhadra 2078,GIMES1,0.0005042480534843305
189,NGPL,241780,Bhadra 2078,GIMES1,0.01904954599553772
190,ULI,21036,Bhadra 2078,GIMES1,0.0016574003207963086
191,SLI,11429,Bhadra 2078,GIMES1,0.0009004767192613145
192,PLIC,28790,Bhadra 2078,GIMES1,0.0022683283530959175
